id	Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
line1	GOTERM_BP_FAT	GO:0030001~metal ion transport	59	6.420021763	0.000397	SLC5A5, JPH3, SLC5A4, SCN3A, ATP1B2, WNT3A, GRIN3A, KCNIP2, KCNJ11, KCNJ13, KCNK9, KCNQ3, SLC24A4, CTGF, NMUR2, NIPAL3, ASPH, AHNAK, MT3, TRPM6, KCND3, TRPM5, ZP2, CACNG3, NTSR1, CDK5, CD84, CRHR1, ARRB2, GRM7, PLA2G6, VAMP2, ATP6V1G3, KCNH2, PKDREJ, CAV3, FXYD2, CAV1, ATP6V1G1, ATP6V1B1, CCL4, TTYH1, CD4, SLC30A3, MTMR6, HRC, SCO2, HPN, TMC1, CD19, P2RX1, TSC1, SLC17A3, P2RX2, SLC17A2, SLC13A4, MYLK, SCN4A, SLC5A12	754	814	16650	1.600554618	0.914219543	0.914219543	0.770059282
line2	GOTERM_BP_FAT	GO:0006812~cation transport	66	7.18171926	0.001055496	SLC5A5, JPH3, SLC5A4, UQCRC1, SCN3A, SLC22A13, ATP1B2, WNT3A, GRIN3A, KCNIP2, KCNJ11, KCNJ13, KCNK9, KCNQ3, SLC24A4, CTGF, NMUR2, NIPAL3, ASPH, AHNAK, MT3, ATP5J, KCND3, TRPM6, TRPM5, ZP2, CACNG3, NTSR1, CDK5, CD84, CRHR1, ARRB2, GRM7, PLA2G6, ATP6V1G3, VAMP2, KCNH2, PKDREJ, CAV3, FXYD2, CAV1, SLC2A10, COX7B, ATP6V1G1, ATP6V1B1, CCL4, ATP5G3, TTYH1, CD4, SLC30A3, MTMR6, HRC, SCO2, HPN, ATP5F1, TMC1, CD19, SLC17A3, P2RX1, TSC1, SLC17A2, P2RX2, SLC13A4, MYLK, SCN4A, SLC5A12	754	975	16650	1.49479698	0.998537296	0.961754691	2.033624034
line3	GOTERM_BP_FAT	GO:0098662~inorganic cation transmembrane transport	47	5.114254625	0.001114307	CAV3, FXYD2, JPH3, SLC5A5, CAV1, UQCRC1, SCN3A, ATP1B2, WNT3A, COX7B, GRIN3A, ATP6V1G1, ATP6V1B1, KCNIP2, KCNJ11, ATP5G3, KCNJ13, KCNQ3, KCNK9, SLC24A4, TTYH1, SLC30A3, ASPH, MTMR6, HRC, AHNAK, ATP5J, TRPM6, KCND3, HPN, TRPM5, ATP5F1, CACNG3, TMC1, NTSR1, CRHR1, CD19, SLC17A3, GRM7, SLC17A2, PLA2G6, SLC13A4, ATP6V1G3, VAMP2, KCNH2, PKDREJ, SCN4A	754	635	16650	1.634432632	0.998983481	0.89945237	2.145772417
line4	GOTERM_BP_FAT	GO:0030162~regulation of proteolysis	51	5.549510337	0.001197571	CAST, WNT3A, GNA12, TNFSF14, PDCD2, ACVR1C, WNT1, CDKN2A, HSF1, CTGF, SPINT2, CDK5RAP3, ASPH, PSMD5, MT3, VIL1, CDK5, WFDC13, PDCL3, ARRB2, CPAMD8, PSME2, PSMA3, CNTN2, BUB1B, SERPINB4, SUSD4, WFDC2, CAV3, CAV1, C9, PSMA7, TRIB1, N4BP1, PSMB6, KBTBD4, MEFV, KLKB1, DIABLO, TAF9, HRG, C2, THBS1, CRIM1, HPN, FETUB, BIRC7, P2RX1, USP47, PDCD6, DNAJB6	754	708	16650	1.590668975	0.999392782	0.84302295	2.304344382
line5	GOTERM_MF_FAT	GO:0022890~inorganic cation transmembrane transporter activity	40	4.352557127	0.001463253	FXYD2, JPH3, SLC5A5, UQCRC1, SLC5A4, SCN3A, ATP1B2, COX7B, ATP6V1G1, GRIN3A, ATP6V1B1, KCNIP2, KCNJ11, ATP5G3, KCNJ13, KCNQ3, KCNK9, SLC24A4, TTYH1, NIPAL3, SLC30A3, SLC28A2, MTMR6, ATP5J, TRPM6, KCND3, HPN, TRPM5, ATP5F1, CACNG3, TMC1, SLC6A17, SLC17A3, GRM7, SLC17A2, SLC13A4, ATP6V1G3, KCNH2, PKDREJ, SCN4A	706	518	15478	1.692935347	0.849657006	0.849657006	2.361216425
line6	GOTERM_MF_FAT	GO:0015077~monovalent inorganic cation transmembrane transporter activity	30	3.264417845	0.001611941	FXYD2, SLC5A5, SLC5A4, UQCRC1, SCN3A, ATP1B2, COX7B, ATP6V1G1, KCNIP2, ATP6V1B1, KCNJ11, ATP5G3, KCNJ13, KCNQ3, KCNK9, SLC24A4, SLC28A2, MTMR6, ATP5J, KCND3, HPN, TRPM5, ATP5F1, SLC6A17, SLC17A3, SLC17A2, SLC13A4, ATP6V1G3, KCNH2, SCN4A	706	353	15478	1.863188052	0.876007484	0.64787429	2.598198169
line7	GOTERM_BP_FAT	GO:0098660~inorganic ion transmembrane transport	51	5.549510337	0.00196281	CAV3, FXYD2, CAV1, JPH3, SLC5A5, UQCRC1, SCN3A, ATP1B2, WNT3A, COX7B, ATP6V1G1, GRIN3A, SLC26A1, KCNIP2, ATP6V1B1, KCNJ11, ATP5G3, KCNJ13, KCNK9, KCNQ3, SLC24A4, NMUR2, TTYH1, SLC25A3, SLC30A3, ASPH, MTMR6, HRC, AHNAK, ATP5J, HPN, KCND3, TRPM6, TRPM5, ATP5F1, CACNG3, TMC1, NTSR1, CRHR1, CD19, SLC17A3, GRM7, SLC17A2, PLA2G6, ATP6V1G3, SLC13A4, VAMP2, KCNH2, PKDREJ, PTAFR, SCN4A	754	725	16650	1.55337053	0.99999468	0.911858337	3.75032849
line8	GOTERM_MF_FAT	GO:0008324~cation transmembrane transporter activity	45	4.896626768	0.002059378	FXYD2, SLC45A2, JPH3, SLC5A5, SLC2A10, UQCRC1, SLC5A4, SLC22A13, SCN3A, ATP1B2, COX7B, GRIN3A, ATP6V1G1, ATP6V1B1, KCNIP2, KCNJ11, ATP5G3, KCNJ13, KCNQ3, KCNK9, SLC24A4, TTYH1, NIPAL3, SLC30A3, SLC28A2, MTMR6, ATP5J, TRPM6, KCND3, HPN, TRPM5, ATP5F1, CACNG3, TMC1, SLC6A17, P2RX1, SLC17A3, GRM7, P2RX2, SLC17A2, SLC13A4, ATP6V1G3, KCNH2, PKDREJ, SCN4A	706	616	15478	1.601555314	0.930580167	0.589013218	3.308080882
line9	GOTERM_BP_FAT	GO:0007605~sensory perception of sound	16	1.741022851	0.002080222	HPN, BARHL1, GRXCR1, NDUFB9, TMC1, GJB6, SOD1, ATP6V1B1, GJC3, LHFPL5, OTOF, GRM7, SIX1, P2RX2, POU4F2, MYH14	754	143	16650	2.47073881	0.999997429	0.882956222	3.970383941
line10	GOTERM_BP_FAT	GO:0050877~neurological system process	81	8.813928183	0.002157375	SLC45A2, JPH3, OR5H1, TAS2R4, SCN3A, OR1A2, HOXD1, GRIN3A, KCNJ11, HOXD10, CRYGA, HMCN1, SLC24A4, IAPP, MGLL, POU4F2, OR2S2, TRPM5, BARHL1, CACNG3, NRXN1, NPAS4, PIGR, NTSR1, GRM1, OR51G1, OR1D2, SIX6, CDK5, OR1S2, OR2W1, TAS2R16, EIF4A3, LHFPL5, CHRM5, OR52K2, ARRB2, OR2H1, OTOF, GRM7, SIX1, CNTN2, PLA2G6, CUX2, OAT, PTAFR, OR1C1, BBS5, RTP1, NDUFB9, OR1L3, OR5A1, ATP6V1B1, GJC3, MEIS2, IMPG2, OR56B1, HPN, LPO, OR5P2, NTF4, GRXCR1, TMC1, GJB6, TNNI3, SOD1, DBH, VSX1, FOXP2, OR2F1, P2RX1, P2RX2, AVPR1A, OR8D2, MYH14, SYNGAP1, OR51A7, ZNF385A, SCN4A, VLDLR, RHO	754	1288	16650	1.388711551	0.999998406	0.851477625	4.114725048
